"source_file","job_id","num_qubits","k","backend","status","folder","experiment_json","calibration_csv","expectation_value","estimated_fidelity","shots","utc_execution_time"
"dicke_state_jobsentlist.txt","d8gsuape8nrc73bgfrqg","4","2","ibm_quebec","ok","n_4_k_2_d8gsuape8nrc73bgfrqg","n_4_k_2_dicke_2026-06-04T20_35_46Z_16000_no_correction.json","ibm_quebec_calibrations_2026-06-04T19_32_57Z.csv","0.13607812499999983","0,8639218750000002","16000","2026-06-04T20:35:46.909674Z"
"dicke_state_jobsentlist.txt","d8gu3d42upec739kbpkg","5","2","ibm_quebec","ok","n_5_k_2_d8gu3d42upec739kbpkg","n_5_k_2_dicke_2026-06-04T20_36_12Z_16000_no_correction.json","ibm_quebec_calibrations_2026-06-04T19_32_57Z.csv","0.1383249999999999","0,8616750000000001","16000","2026-06-04T20:36:12.049316Z"
"dicke_state_jobsentlist.txt","d8gu3je6983c73dqcf30","6","2","ibm_quebec","ok","n_6_k_2_d8gu3je6983c73dqcf30","n_6_k_2_dicke_2026-06-04T20_36_30Z_16000_no_correction.json","ibm_quebec_calibrations_2026-06-04T19_32_57Z.csv","0.19083333333333335","0,8091666666666666","16000","2026-06-04T20:36:30.603252Z"
"dicke_state_jobsentlist.txt","d6av4ang4t5c7383nmqg","7","2","ibm_quebec","ok","n_7_k_2_d6av4ang4t5c7383nmqg","n_7_k_2_dicke_2026-02-18T17_09_00Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-18T16_46_29Z.csv","0.2461696428571437","0,7538303571428563","16000","2026-02-18T17:09:00.264151Z"
"dicke_state_jobsentlist.txt","d8gu3ntv8cos73f3nq30","8","2","ibm_quebec","ok","n_8_k_2_d8gu3ntv8cos73f3nq30","n_8_k_2_dicke_2026-06-04T20_36_48Z_16000_no_correction.json","ibm_quebec_calibrations_2026-06-04T19_32_57Z.csv","0.41289843750000044","0,5871015624999996","16000","2026-06-04T20:36:48.907200Z"
"dicke_state_jobsentlist.txt","d6f4vqh7ce2c73fjkok0","9","2","ibm_quebec","ok","n_9_k_2_d6f4vqh7ce2c73fjkok0","n_9_k_2_dicke_2026-02-25T01_27_08Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T01_22_54Z.csv","0.39518750000000313","0,6048124999999969","16000","2026-02-25T01:27:08.008032Z"
"dicke_state_jobsentlist.txt","d6f58nvg4t5c7388ju3g","10","2","ibm_quebec","ok","n_10_k_2_d6f58nvg4t5c7388ju3g","n_10_k_2_dicke_2026-02-25T01_46_09Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T01_22_54Z.csv","0.7703625000000076","0,2296374999999924","16000","2026-02-25T01:46:09.014607Z"
"dicke_state_jobsentlist.txt","d6f6et954hss73bbokt0","11","2","ibm_quebec","ok","n_11_k_2_d6f6et954hss73bbokt0","n_11_k_2_dicke_2026-02-25T03_07_34Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T02_29_47Z.csv","0.9456363636363694","0,05436363636363062","16000","2026-02-25T03:07:34.674670Z"
"dicke_state_jobsentlist.txt","d6f730h54hss73bbpbe0","4","3","ibm_quebec","ok","n_4_k_3_d6f730h54hss73bbpbe0","n_4_k_3_dicke_2026-02-25T03_50_27Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T03_42_40Z.csv","0.07896875000000025","0,9210312499999997","16000","2026-02-25T03:50:27.432310Z"
"dicke_state_jobsentlist.txt","d6f81gknsg9c739ddoa0","5","3","ibm_quebec","ok","n_5_k_3_d6f81gknsg9c739ddoa0","n_5_k_3_dicke_2026-02-25T04_55_32Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T04_54_07Z.csv","0.15125000000000002","0,84875","16000","2026-02-25T04:55:32.104312Z"
"dicke_state_jobsentlist.txt","d6b179h54hss73b6q6t0","6","3","ibm_quebec","ok","n_6_k_3_d6b179h54hss73b6q6t0","n_6_k_3_dicke_2026-02-18T19_31_52Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-18T19_14_56Z.csv","0.3339270833333337","0,6660729166666663","16000","2026-02-18T19:31:52.811913Z"
"dicke_state_jobsentlist.txt","d6f5inp54hss73bbnl30","7","3","ibm_quebec","ok","n_7_k_3_d6f5inp54hss73bbnl30","n_7_k_3_dicke_2026-02-25T02_07_28Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T01_22_54Z.csv","0.29766071428571395","0,702339285714286","16000","2026-02-25T02:07:28.905319Z"
"dicke_state_jobsentlist.txt","d6f6rtvg4t5c7388lojg","8","3","ibm_quebec","ok","n_8_k_3_d6f6rtvg4t5c7388lojg","n_8_k_3_dicke_2026-02-25T03_35_21Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T03_22_42Z.csv","0.45830468749999986","0,5416953125000001","16000","2026-02-25T03:35:21.406020Z"
"dicke_state_jobsentlist.txt","d6f6u7954hss73bbp6e0","9","3","ibm_quebec","ok","n_9_k_3_d6f6u7954hss73bbp6e0","n_9_k_3_dicke_2026-02-25T03_40_15Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T03_22_42Z.csv","0.5493333333333319","0,4506666666666681","16000","2026-02-25T03:40:15.761239Z"
"dicke_state_jobsentlist.txt","d6f86ap54hss73bbqjng","10","3","ibm_quebec","ok","n_10_k_3_d6f86ap54hss73bbqjng","n_10_k_3_dicke_2026-02-25T05_05_48Z_16000_no_correction.json","ibm_quebec_calibrations_2026-02-25T05_00_35Z.csv","0.9876124999999988","0,012387500000001217","16000","2026-02-25T05:05:48.283406Z"
