Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
0,320.13591884087964,474.5224567165733,0.007568359375,0.0068359375,0.00830078125,2584.0,0.00011630061821567748,32.0,0.00011630061821567748,0,0.00011630061821567748,0.00011630061821567748,1:0.0006902353096636948;1:0.0006902353096636948;1:0.0007652373430031001;1:0.0007652373430031001,1:68.0;1:68.0;1:68.0;1:68.0,1:0.001672713889369598;1:0.001672713889369598;1:0.0013227861306995548;1:0.0013227861306995548,0.007568359375,Yes
1,299.03619314966676,412.826948430464,0.00732421875,0.01318359375,0.00146484375,2584.0,0.00020307943650756905,32.0,0.00020307943650756905,0,0.00020307943650756905,0.00020307943650756905,0:0.0006902353096636948;0:0.0006902353096636948;0:0.0007652373430031001;0:0.0007652373430031001;2:0.002043385298158923;2:0.002043385298158923;2:0.0018232767204711398;2:0.0018232767204711398,0:68.0;0:68.0;0:68.0;0:68.0;2:108.0;2:108.0;2:108.0;2:108.0,0:0.001672713889369598;0:0.001672713889369598;0:0.0013227861306995548;0:0.0013227861306995548;2:1;2:1;2:0.14751819889137888;2:0.14751819889137888,0.00732421875,Yes
2,235.22298291827772,235.4211606107082,0.02490234375,0.0380859375,0.01171875,2584.0,0.000198545765801727,32.0,0.000198545765801727,0,0.000198545765801727,0.000198545765801727,1:0.002043385298158923;1:0.002043385298158923;1:0.0018232767204711398;1:0.0018232767204711398;3:0.002259632418989438;3:0.002259632418989438;3:0.0020795967975390517;3:0.0020795967975390517,1:108.0;1:108.0;1:108.0;1:108.0;3:108.0;3:108.0;3:108.0;3:108.0,1:1;1:1;1:0.14751819889137888;1:0.14751819889137888;3:0.002722835828532999;3:0.002722835828532999;3:0.002948864087770564;3:0.002948864087770564,0.02490234375,Yes
3,312.6917791865378,435.74972935046355,0.011962890625,0.01513671875,0.0087890625,2584.0,0.00030773261195993353,32.0,0.00030773261195993353,0,0.00030773261195993353,0.00030773261195993353,2:0.002259632418989438;2:0.002259632418989438;2:0.0020795967975390517;2:0.0020795967975390517;4:0.004792557714244555;4:0.004792557714244555;4:0.009860860899865709;4:0.009860860899865709;16:0.004163728442691111;16:0.004163728442691111;16:0.007359944281663144;16:0.007359944281663144,2:108.0;2:108.0;2:108.0;2:108.0;4:68.0;4:68.0;4:68.0;4:68.0;16:68.0;16:68.0;16:68.0;16:68.0,2:0.002722835828532999;2:0.002722835828532999;2:0.002948864087770564;2:0.002948864087770564;4:0.00587432583040795;4:0.00587432583040795;4:0.0027031178752740803;4:0.0027031178752740803;16:0.00082796071814914;16:0.00082796071814914;16:0.0010197301548968418;16:0.0010197301548968418,0.011962890625,Yes
4,299.88627934037106,498.6717499703062,0.0048828125,0.0048828125,0.0048828125,2584.0,0.0001470894667547397,32.0,0.0001470894667547397,0,0.0001470894667547397,0.0001470894667547397,3:0.004792557714244555;3:0.004792557714244555;3:0.009860860899865709;3:0.009860860899865709;5:0.0020490611050568153;5:0.0020490611050568153;5:0.0022872443008895293;5:0.0022872443008895293,3:68.0;3:68.0;3:68.0;3:68.0;5:68.0;5:68.0;5:68.0;5:68.0,3:0.00587432583040795;3:0.00587432583040795;3:0.0027031178752740803;3:0.0027031178752740803;5:0.003962934516438643;5:0.003962934516438643;5:0.004268524769012877;5:0.004268524769012877,0.0048828125,Yes
5,291.37661884645803,337.16592784674464,0.003173828125,0.00390625,0.00244140625,2584.0,0.00021235951037984417,32.0,0.00021235951037984417,0,0.00021235951037984417,0.00021235951037984417,4:0.0020490611050568153;4:0.0020490611050568153;4:0.0022872443008895293;4:0.0022872443008895293;6:0.0007415941277894578;6:0.0007415941277894578;6:0.0007379342333971584;6:0.0007379342333971584,4:68.0;4:68.0;4:68.0;4:68.0;6:68.0;6:68.0;6:68.0;6:68.0,4:0.003962934516438643;4:0.003962934516438643;4:0.004268524769012877;4:0.004268524769012877;6:0.0007306451759192256;6:0.0007306451759192256;6:0.0006547780802736158;6:0.0006547780802736158,0.003173828125,Yes
6,280.50876919639364,337.44708550974235,0.00439453125,0.00634765625,0.00244140625,2584.0,0.00013515098593269037,32.0,0.00013515098593269037,0,0.00013515098593269037,0.00013515098593269037,5:0.0007415941277894578;5:0.0007415941277894578;5:0.0007379342333971584;5:0.0007379342333971584;7:0.0008333225269180344;7:0.0008333225269180344;7:0.0006744490444957063;7:0.0006744490444957063,5:68.0;5:68.0;5:68.0;5:68.0;7:68.0;7:68.0;7:68.0;7:68.0,5:0.0007306451759192256;5:0.0007306451759192256;5:0.0006547780802736158;5:0.0006547780802736158;7:0.0007603636310432593;7:0.0007603636310432593;7:0.0009852957642144111;7:0.0009852957642144111,0.00439453125,Yes
7,291.44645978905163,302.65748041842096,0.022705078125,0.0302734375,0.01513671875,2584.0,0.00029948234921563737,32.0,0.00029948234921563737,0,0.00029948234921563737,0.00029948234921563737,6:0.0008333225269180344;6:0.0008333225269180344;6:0.0006744490444957063;6:0.0006744490444957063;8:0.0021916511940775762;8:0.0021916511940775762;8:0.0026627233399721395;8:0.0026627233399721395;17:0.001108741662190743;17:0.001108741662190743;17:0.00304603772006809;17:0.00304603772006809,6:68.0;6:68.0;6:68.0;6:68.0;8:208.0;8:208.0;8:208.0;8:208.0;17:68.0;17:68.0;17:68.0;17:68.0,6:0.0007603636310432593;6:0.0007603636310432593;6:0.0009852957642144111;6:0.0009852957642144111;8:0.009287837707136815;8:0.009287837707136815;8:0.007976521030420985;8:0.007976521030420985;17:0.0009564768490679665;17:0.0009564768490679665;17:0.0014052737088928458;17:0.0014052737088928458,0.022705078125,Yes
8,277.0801251912324,309.35399548165174,0.013916015625,0.01025390625,0.017578125,2584.0,0.00010543021148064925,32.0,0.00010543021148064925,0,0.00010543021148064925,0.00010543021148064925,7:0.0021916511940775762;7:0.0021916511940775762;7:0.0026627233399721395;7:0.0026627233399721395;9:0.005526963809782348;9:0.005526963809782348;9:0.002070578874501572;9:0.002070578874501572,7:208.0;7:208.0;7:208.0;7:208.0;9:68.0;9:68.0;9:68.0;9:68.0,7:0.009287837707136815;7:0.009287837707136815;7:0.007976521030420985;7:0.007976521030420985;9:0.004315283907933204;9:0.004315283907933204;9:0.0012118434293695024;9:0.0012118434293695024,0.013916015625,Yes
9,256.5028053303851,411.9850582537465,0.00244140625,0.00341796875,0.00146484375,2584.0,0.0001959280377745624,32.0,0.0001959280377745624,0,0.0001959280377745624,0.0001959280377745624,8:0.005526963809782348;8:0.005526963809782348;8:0.002070578874501572;8:0.002070578874501572;10:0.005905359793005355;10:0.005905359793005355;10:0.0016314901517047176;10:0.0016314901517047176,8:68.0;8:68.0;8:68.0;8:68.0;10:68.0;10:68.0;10:68.0;10:68.0,8:0.004315283907933204;8:0.004315283907933204;8:0.0012118434293695024;8:0.0012118434293695024;10:0.005532509113637285;10:0.005532509113637285;10:0.002681426690709393;10:0.002681426690709393,0.00244140625,Yes
