Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
0,226.35499828134476,378.12171764209296,0.0042724609375,0.00244140625,0.006103515625,2584.0,0.0001084864212349379,32.0,0.0001084864212349379,0,0.0001084864212349379,0.0001084864212349379,1:0.0007568779571971995;1:0.0007568779571971995;1:0.0007652373430031001;1:0.0007652373430031001,1:68.0;1:68.0;1:68.0;1:68.0,1:0.0015066196452586944;1:0.0015066196452586944;1:0.0013227861306995548;1:0.0013227861306995548,0.0042724609375,Yes
1,221.41967972610232,318.17694280071913,0.0081787109375,0.0146484375,0.001708984375,2584.0,0.0002542320193033708,32.0,0.0002542320193033708,0,0.0002542320193033708,0.0002542320193033708,0:0.0007568779571971995;0:0.0007568779571971995;0:0.0007652373430031001;0:0.0007652373430031001;2:0.001671943476418497;2:0.001671943476418497;2:0.0018232767204711398;2:0.0018232767204711398,0:68.0;0:68.0;0:68.0;0:68.0;2:108.0;2:108.0;2:108.0;2:108.0,0:0.0015066196452586944;0:0.0015066196452586944;0:0.0013227861306995548;0:0.0013227861306995548;2:1;2:1;2:0.14751819889137888;2:0.14751819889137888,0.0081787109375,Yes
2,298.3138347853168,382.153953078755,0.0062255859375,0.00390625,0.008544921875,2584.0,0.000219990130150321,32.0,0.000219990130150321,0,0.000219990130150321,0.000219990130150321,1:0.001671943476418497;1:0.001671943476418497;1:0.0018232767204711398;1:0.0018232767204711398;3:0.002097897271185617;3:0.002097897271185617;3:0.0020795967975390517;3:0.0020795967975390517,1:108.0;1:108.0;1:108.0;1:108.0;3:108.0;3:108.0;3:108.0;3:108.0,1:1;1:1;1:0.14751819889137888;1:0.14751819889137888;3:0.0023188247347963875;3:0.0023188247347963875;3:0.002948864087770564;3:0.002948864087770564,0.0062255859375,Yes
3,317.5691453219155,459.5725751575183,0.004638671875,0.0078125,0.00146484375,2584.0,0.0001132528808750096,32.0,0.0001132528808750096,0,0.0001132528808750096,0.0001132528808750096,2:0.002097897271185617;2:0.002097897271185617;2:0.0020795967975390517;2:0.0020795967975390517;4:0.001621184996699887;4:0.001621184996699887;4:0.009860860899865709;4:0.009860860899865709;16:0.0010151919617433225;16:0.0010151919617433225;16:0.007359944281663144;16:0.007359944281663144,2:108.0;2:108.0;2:108.0;2:108.0;4:68.0;4:68.0;4:68.0;4:68.0;16:68.0;16:68.0;16:68.0;16:68.0,2:0.0023188247347963875;2:0.0023188247347963875;2:0.002948864087770564;2:0.002948864087770564;4:0.0026352390802491243;4:0.0026352390802491243;4:0.0027031178752740803;4:0.0027031178752740803;16:0.000983744426362232;16:0.000983744426362232;16:0.0010197301548968418;16:0.0010197301548968418,0.004638671875,Yes
4,240.262510980724,383.091575312435,0.00732421875,0.007568359375,0.007080078125,2584.0,0.00012816507147216883,32.0,0.00012816507147216883,0,0.00012816507147216883,0.00012816507147216883,3:0.001621184996699887;3:0.001621184996699887;3:0.009860860899865709;3:0.009860860899865709;5:0.006914402526297242;5:0.006914402526297242;5:0.0022872443008895293;5:0.0022872443008895293,3:68.0;3:68.0;3:68.0;3:68.0;5:68.0;5:68.0;5:68.0;5:68.0,3:0.0026352390802491243;3:0.0026352390802491243;3:0.0027031178752740803;3:0.0027031178752740803;5:0.0030202421722036743;5:0.0030202421722036743;5:0.004268524769012877;5:0.004268524769012877,0.00732421875,Yes
5,326.56415619843153,373.81893087730447,0.002685546875,0.00390625,0.00146484375,2584.0,0.00014900865712406803,32.0,0.00014900865712406803,0,0.00014900865712406803,0.00014900865712406803,4:0.006914402526297242;4:0.006914402526297242;4:0.0022872443008895293;4:0.0022872443008895293;6:0.000923195702173335;6:0.000923195702173335;6:0.0007379342333971584;6:0.0007379342333971584,4:68.0;4:68.0;4:68.0;4:68.0;6:68.0;6:68.0;6:68.0;6:68.0,4:0.0030202421722036743;4:0.0030202421722036743;4:0.004268524769012877;4:0.004268524769012877;6:0.0008712221322201286;6:0.0008712221322201286;6:0.0006547780802736158;6:0.0006547780802736158,0.002685546875,Yes
6,324.043397825109,403.97153413608623,0.0045166015625,0.00830078125,0.000732421875,2584.0,0.00010070163735956282,32.0,0.00010070163735956282,0,0.00010070163735956282,0.00010070163735956282,5:0.000923195702173335;5:0.000923195702173335;5:0.0007379342333971584;5:0.0007379342333971584;7:0.001332702132122776;7:0.001332702132122776;7:0.0006744490444957063;7:0.0006744490444957063,5:68.0;5:68.0;5:68.0;5:68.0;7:68.0;7:68.0;7:68.0;7:68.0,5:0.0008712221322201286;5:0.0008712221322201286;5:0.0006547780802736158;5:0.0006547780802736158;7:0.0009455625013502778;7:0.0009455625013502778;7:0.0009852957642144111;7:0.0009852957642144111,0.0045166015625,Yes
7,268.7701823973547,261.5223733285475,0.0198974609375,0.03466796875,0.005126953125,2584.0,0.0002773632284341973,32.0,0.0002773632284341973,0,0.0002773632284341973,0.0002773632284341973,6:0.001332702132122776;6:0.001332702132122776;6:0.0006744490444957063;6:0.0006744490444957063;8:0.0017848382816548214;8:0.0017848382816548214;8:0.0026627233399721395;8:0.0026627233399721395;17:0.0021293727066769297;17:0.0021293727066769297;17:0.00304603772006809;17:0.00304603772006809,6:68.0;6:68.0;6:68.0;6:68.0;8:208.0;8:208.0;8:208.0;8:208.0;17:68.0;17:68.0;17:68.0;17:68.0,6:0.0009455625013502778;6:0.0009455625013502778;6:0.0009852957642144111;6:0.0009852957642144111;8:0.00866711862659822;8:0.00866711862659822;8:0.007976521030420985;8:0.007976521030420985;17:0.001657219662518139;17:0.001657219662518139;17:0.0014052737088928458;17:0.0014052737088928458,0.0198974609375,Yes
8,328.78170052907586,390.51944778289794,0.012939453125,0.005859375,0.02001953125,2584.0,8.285424657350848e-05,32.0,8.285424657350848e-05,0,8.285424657350848e-05,8.285424657350848e-05,7:0.0017848382816548214;7:0.0017848382816548214;7:0.0026627233399721395;7:0.0026627233399721395;9:0.0010542192477505652;9:0.0010542192477505652;9:0.002070578874501572;9:0.002070578874501572,7:208.0;7:208.0;7:208.0;7:208.0;9:68.0;9:68.0;9:68.0;9:68.0,7:0.00866711862659822;7:0.00866711862659822;7:0.007976521030420985;7:0.007976521030420985;9:0.0033518634261521796;9:0.0033518634261521796;9:0.0012118434293695024;9:0.0012118434293695024,0.012939453125,Yes
9,294.1024078179996,346.62149285245664,0.002197265625,0.0029296875,0.00146484375,2584.0,0.00015562898463302694,32.0,0.00015562898463302694,0,0.00015562898463302694,0.00015562898463302694,8:0.0010542192477505652;8:0.0010542192477505652;8:0.002070578874501572;8:0.002070578874501572;10:0.001160813964412144;10:0.001160813964412144;10:0.0016314901517047176;10:0.0016314901517047176,8:68.0;8:68.0;8:68.0;8:68.0;10:68.0;10:68.0;10:68.0;10:68.0,8:0.0033518634261521796;8:0.0033518634261521796;8:0.0012118434293695024;8:0.0012118434293695024;10:0.0017942098867411993;10:0.0017942098867411993;10:0.002681426690709393;10:0.002681426690709393,0.002197265625,Yes
