Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
0,333.4570427302847,537.5859448060089,0.003662109375,0.002197265625,0.005126953125,2584.0,0.00012865384896012632,32.0,0.00012865384896012632,0,0.00012865384896012632,0.00012865384896012632,1:0.0009307222553034122;1:0.0009307222553034122;1:0.0007652373430031001;1:0.0007652373430031001,1:68.0;1:68.0;1:68.0;1:68.0,1:0.0013318633164918214;1:0.0013318633164918214;1:0.0013227861306995548;1:0.0013227861306995548,0.003662109375,Yes
1,261.09384897974525,392.0530443229302,0.0093994140625,0.017578125,0.001220703125,2584.0,0.0001493748421618055,32.0,0.0001493748421618055,0,0.0001493748421618055,0.0001493748421618055,0:0.0009307222553034122;0:0.0009307222553034122;0:0.0007652373430031001;0:0.0007652373430031001;2:0.0014414879162920335;2:0.0014414879162920335;2:0.0018232767204711398;2:0.0018232767204711398,0:68.0;0:68.0;0:68.0;0:68.0;2:108.0;2:108.0;2:108.0;2:108.0,0:0.0013318633164918214;0:0.0013318633164918214;0:0.0013227861306995548;0:0.0013227861306995548;2:1;2:1;2:0.14751819889137888;2:0.14751819889137888,0.0093994140625,Yes
2,306.30561448808334,403.60989418708954,0.007080078125,0.006103515625,0.008056640625,2584.0,7.49249114343071e-05,32.0,7.49249114343071e-05,0,7.49249114343071e-05,7.49249114343071e-05,1:0.0014414879162920335;1:0.0014414879162920335;1:0.0018232767204711398;1:0.0018232767204711398;3:0.001846422905431161;3:0.001846422905431161;3:0.0020795967975390517;3:0.0020795967975390517,1:108.0;1:108.0;1:108.0;1:108.0;3:108.0;3:108.0;3:108.0;3:108.0,1:1;1:1;1:0.14751819889137888;1:0.14751819889137888;3:0.0036801393088291834;3:0.0036801393088291834;3:0.002948864087770564;3:0.002948864087770564,0.007080078125,Yes
3,348.4859792962907,368.1992578625433,0.004150390625,0.005859375,0.00244140625,2584.0,0.00037009078309949736,32.0,0.00037009078309949736,0,0.00037009078309949736,0.00037009078309949736,2:0.001846422905431161;2:0.001846422905431161;2:0.0020795967975390517;2:0.0020795967975390517;4:0.0016738848172470067;4:0.0016738848172470067;4:0.009860860899865709;4:0.009860860899865709;16:0.0015794510588195976;16:0.0015794510588195976;16:0.007359944281663144;16:0.007359944281663144,2:108.0;2:108.0;2:108.0;2:108.0;4:68.0;4:68.0;4:68.0;4:68.0;16:68.0;16:68.0;16:68.0;16:68.0,2:0.0036801393088291834;2:0.0036801393088291834;2:0.002948864087770564;2:0.002948864087770564;4:0.006163546680647475;4:0.006163546680647475;4:0.0027031178752740803;4:0.0027031178752740803;16:0.0021104274622656682;16:0.0021104274622656682;16:0.0010197301548968418;16:0.0010197301548968418,0.004150390625,Yes
4,303.2896892521042,494.00839243645737,0.003662109375,0.00439453125,0.0029296875,2584.0,0.00014348732554093932,32.0,0.00014348732554093932,0,0.00014348732554093932,0.00014348732554093932,3:0.0016738848172470067;3:0.0016738848172470067;3:0.009860860899865709;3:0.009860860899865709;5:0.009940003632841449;5:0.009940003632841449;5:0.0022872443008895293;5:0.0022872443008895293,3:68.0;3:68.0;3:68.0;3:68.0;5:68.0;5:68.0;5:68.0;5:68.0,3:0.006163546680647475;3:0.006163546680647475;3:0.0027031178752740803;3:0.0027031178752740803;5:0.004860608577175601;5:0.004860608577175601;5:0.004268524769012877;5:0.004268524769012877,0.003662109375,Yes
5,300.65269803010256,367.7189615397647,0.0025634765625,0.0048828125,0.000244140625,2584.0,0.00014200099259259897,32.0,0.00014200099259259897,0,0.00014200099259259897,0.00014200099259259897,4:0.009940003632841449;4:0.009940003632841449;4:0.0022872443008895293;4:0.0022872443008895293;6:0.0006488744237949373;6:0.0006488744237949373;6:0.0007379342333971584;6:0.0007379342333971584,4:68.0;4:68.0;4:68.0;4:68.0;6:68.0;6:68.0;6:68.0;6:68.0,4:0.004860608577175601;4:0.004860608577175601;4:0.004268524769012877;4:0.004268524769012877;6:0.0007443298312484747;6:0.0007443298312484747;6:0.0006547780802736158;6:0.0006547780802736158,0.0025634765625,Yes
6,248.64488194126042,270.87451007316525,0.0028076171875,0.0048828125,0.000732421875,2584.0,0.00011698784285963316,32.0,0.00011698784285963316,0,0.00011698784285963316,0.00011698784285963316,5:0.0006488744237949373;5:0.0006488744237949373;5:0.0007379342333971584;5:0.0007379342333971584;7:0.0010817031633306162;7:0.0010817031633306162;7:0.0006744490444957063;7:0.0006744490444957063,5:68.0;5:68.0;5:68.0;5:68.0;7:68.0;7:68.0;7:68.0;7:68.0,5:0.0007443298312484747;5:0.0007443298312484747;5:0.0006547780802736158;5:0.0006547780802736158;7:0.0013773446769413666;7:0.0013773446769413666;7:0.0009852957642144111;7:0.0009852957642144111,0.0028076171875,Yes
7,320.4023502992052,333.2171909120339,0.017578125,0.033447265625,0.001708984375,2584.0,0.0002549312495423721,32.0,0.0002549312495423721,0,0.0002549312495423721,0.0002549312495423721,6:0.0010817031633306162;6:0.0010817031633306162;6:0.0006744490444957063;6:0.0006744490444957063;8:0.0017738172497602234;8:0.0017738172497602234;8:0.0026627233399721395;8:0.0026627233399721395;17:0.0011640966710644851;17:0.0011640966710644851;17:0.00304603772006809;17:0.00304603772006809,6:68.0;6:68.0;6:68.0;6:68.0;8:208.0;8:208.0;8:208.0;8:208.0;17:68.0;17:68.0;17:68.0;17:68.0,6:0.0013773446769413666;6:0.0013773446769413666;6:0.0009852957642144111;6:0.0009852957642144111;8:0.007664984097069366;8:0.007664984097069366;8:0.007976521030420985;8:0.007976521030420985;17:0.0009336250086360298;17:0.0009336250086360298;17:0.0014052737088928458;17:0.0014052737088928458,0.017578125,Yes
8,320.9784390713361,335.0844201033985,0.0084228515625,0.005615234375,0.01123046875,2584.0,0.00011435418481505899,32.0,0.00011435418481505899,0,0.00011435418481505899,0.00011435418481505899,7:0.0017738172497602234;7:0.0017738172497602234;7:0.0026627233399721395;7:0.0026627233399721395;9:0.001084639046134317;9:0.001084639046134317;9:0.002070578874501572;9:0.002070578874501572,7:208.0;7:208.0;7:208.0;7:208.0;9:68.0;9:68.0;9:68.0;9:68.0,7:0.007664984097069366;7:0.007664984097069366;7:0.007976521030420985;7:0.007976521030420985;9:0.0011059660122740844;9:0.0011059660122740844;9:0.0012118434293695024;9:0.0012118434293695024,0.0084228515625,Yes
9,255.2575548725066,357.8954119494677,0.0042724609375,0.006591796875,0.001953125,2584.0,0.00010360293249369882,32.0,0.00010360293249369882,0,0.00010360293249369882,0.00010360293249369882,8:0.001084639046134317;8:0.001084639046134317;8:0.002070578874501572;8:0.002070578874501572;10:0.0014029234457695605;10:0.0014029234457695605;10:0.0016314901517047176;10:0.0016314901517047176,8:68.0;8:68.0;8:68.0;8:68.0;10:68.0;10:68.0;10:68.0;10:68.0,8:0.0011059660122740844;8:0.0011059660122740844;8:0.0012118434293695024;8:0.0012118434293695024;10:0.0025600870390902197;10:0.0025600870390902197;10:0.002681426690709393;10:0.002681426690709393,0.0042724609375,Yes
10,358.4925631170543,371.2499243165859,0.005615234375,0.001953125,0.004150390625,2584.0,0.0002191067098503002,32.0,0.0002191067098503002,0,0.0002191067098503002,0.0002191067098503002,9:0.0014029234457695605;9:0.0014029234457695605;9:0.0016314901517047176;9:0.0016314901517047176;11:0.0010371883313096963;11:0.0010371883313096963;11:0.0011162786066303831;11:0.0011162786066303831,9:68.0;9:68.0;9:68.0;9:68.0;11:68.0;11:68.0;11:68.0;11:68.0,9:0.0025600870390902197;9:0.0025600870390902197;9:0.002681426690709393;9:0.002681426690709393;11:0.0019730352295068976;11:0.0019730352295068976;11:0.0015815973494364144;11:0.0015815973494364144,0.005615234375,Yes
11,262.5456768377794,148.14326888941744,0.013427734375,0.021240234375,0.005615234375,2584.0,0.00032074995018081516,32.0,0.00032074995018081516,0,0.00032074995018081516,0.00032074995018081516,10:0.0010371883313096963;10:0.0010371883313096963;10:0.0011162786066303831;10:0.0011162786066303831;12:0.0013298800033284541;12:0.0013298800033284541;12:0.0017861370069168214;12:0.0017861370069168214;18:0.05118153042624862;18:0.05118153042624862;18:0.01904309433956175;18:0.01904309433956175,10:68.0;10:68.0;10:68.0;10:68.0;12:68.0;12:68.0;12:68.0;12:68.0;18:68.0;18:68.0;18:68.0;18:68.0,10:0.0019730352295068976;10:0.0019730352295068976;10:0.0015815973494364144;10:0.0015815973494364144;12:0.0012629990436879013;12:0.0012629990436879013;12:0.0012308521375171966;12:0.0012308521375171966;18:0.0165659458239924;18:0.0165659458239924;18:0.012571129093390615;18:0.012571129093390615,0.013427734375,Yes
12,269.3294520637076,317.119294018402,0.002685546875,0.004150390625,0.001220703125,2584.0,0.00013603940234050576,32.0,0.00013603940234050576,0,0.00013603940234050576,0.00013603940234050576,11:0.0013298800033284541;11:0.0013298800033284541;11:0.0017861370069168214;11:0.0017861370069168214;13:0.0009383964213592888;13:0.0009383964213592888;13:0.0012729209778813144;13:0.0012729209778813144,11:68.0;11:68.0;11:68.0;11:68.0;13:68.0;13:68.0;13:68.0;13:68.0,11:0.0012629990436879013;11:0.0012629990436879013;11:0.0012308521375171966;11:0.0012308521375171966;13:0.005006698830826245;13:0.005006698830826245;13:0.000889990105250732;13:0.000889990105250732,0.002685546875,Yes
13,319.5113417166221,396.62424651161615,0.003173828125,0.00439453125,0.001953125,2584.0,0.0002090761531682621,32.0,0.0002090761531682621,0,0.0002090761531682621,0.0002090761531682621,12:0.0009383964213592888;12:0.0009383964213592888;12:0.0012729209778813144;12:0.0012729209778813144;14:0.0009335174445422312;14:0.0009335174445422312;14:0.0009332147442508154;14:0.0009332147442508154,12:68.0;12:68.0;12:68.0;12:68.0;14:68.0;14:68.0;14:68.0;14:68.0,12:0.005006698830826245;12:0.005006698830826245;12:0.000889990105250732;12:0.000889990105250732;14:0.001055433752943813;14:0.001055433752943813;14:0.0010293319832028747;14:0.0010293319832028747,0.003173828125,Yes
14,267.3951920247726,299.4484132433833,0.0042724609375,0.00732421875,0.001220703125,2584.0,0.00013572693828302167,32.0,0.00013572693828302167,0,0.00013572693828302167,0.00013572693828302167,13:0.0009335174445422312;13:0.0009335174445422312;13:0.0009332147442508154;13:0.0009332147442508154;15:0.0009407493700028802;15:0.0009407493700028802;15:0.0010947977284297694;15:0.0010947977284297694,13:68.0;13:68.0;13:68.0;13:68.0;15:68.0;15:68.0;15:68.0;15:68.0,13:0.001055433752943813;13:0.001055433752943813;13:0.0010293319832028747;13:0.0010293319832028747;15:0.0028878197534826233;15:0.0028878197534826233;15:0.000814288605000768;15:0.000814288605000768,0.0042724609375,Yes
15,262.55462017021546,252.72243359353925,0.0050048828125,0.00537109375,0.004638671875,2584.0,0.0002587127654517421,32.0,0.0002587127654517421,0,0.0002587127654517421,0.0002587127654517421,14:0.0009407493700028802;14:0.0009407493700028802;14:0.0010947977284297694;14:0.0010947977284297694;19:0.001068506537572872;19:0.001068506537572872;19:0.0016896365683655434;19:0.0016896365683655434,14:68.0;14:68.0;14:68.0;14:68.0;19:68.0;19:68.0;19:68.0;19:68.0,14:0.0028878197534826233;14:0.0028878197534826233;14:0.000814288605000768;14:0.000814288605000768;19:0.001809163812305864;19:0.001809163812305864;19:0.0010243158259352347;19:0.0010243158259352347,0.0050048828125,Yes
16,243.24403735350575,318.9429432230736,0.003662109375,0.005126953125,0.002197265625,2584.0,0.00016268699239854487,32.0,0.00016268699239854487,0,0.00016268699239854487,0.00016268699239854487,3:0.0015794510588195976;3:0.0015794510588195976;3:0.007359944281663144;3:0.007359944281663144;23:0.0011267383791838115;23:0.0011267383791838115;23:0.002865857684017592;23:0.002865857684017592,3:68.0;3:68.0;3:68.0;3:68.0;23:68.0;23:68.0;23:68.0;23:68.0,3:0.0021104274622656682;3:0.0021104274622656682;3:0.0010197301548968418;3:0.0010197301548968418;23:0.0011783879530855301;23:0.0011783879530855301;23:0.002466240955105836;23:0.002466240955105836,0.003662109375,Yes
