Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
0,269.58520094643734,283.1869848126821,0.0045166015625,0.003662109375,0.00537109375,2584.0,9.143062077266752e-05,32.0,9.143062077266752e-05,0,9.143062077266752e-05,9.143062077266752e-05,1:0.0014483119266235078;1:0.0014483119266235078;1:0.0007652373430031001;1:0.0007652373430031001,1:68.0;1:68.0;1:68.0;1:68.0,1:0.001561775378044472;1:0.001561775378044472;1:0.0013227861306995548;1:0.0013227861306995548,0.0045166015625,Yes
1,280.1417743412555,358.5941346580879,0.0069580078125,0.01123046875,0.002685546875,2584.0,0.0002780465271279384,32.0,0.0002780465271279384,0,0.0002780465271279384,0.0002780465271279384,0:0.0014483119266235078;0:0.0014483119266235078;0:0.0007652373430031001;0:0.0007652373430031001;2:0.002814926420949271;2:0.002814926420949271;2:0.0018232767204711398;2:0.0018232767204711398,0:68.0;0:68.0;0:68.0;0:68.0;2:108.0;2:108.0;2:108.0;2:108.0,0:0.001561775378044472;0:0.001561775378044472;0:0.0013227861306995548;0:0.0013227861306995548;2:1;2:1;2:0.14751819889137888;2:0.14751819889137888,0.0069580078125,Yes
2,217.27899555897847,262.0176578541238,0.0052490234375,0.0048828125,0.005615234375,2584.0,0.0002648928987129961,32.0,0.0002648928987129961,0,0.0002648928987129961,0.0002648928987129961,1:0.002814926420949271;1:0.002814926420949271;1:0.0018232767204711398;1:0.0018232767204711398;3:0.0019340607072258764;3:0.0019340607072258764;3:0.0020795967975390517;3:0.0020795967975390517,1:108.0;1:108.0;1:108.0;1:108.0;3:108.0;3:108.0;3:108.0;3:108.0,1:1;1:1;1:0.14751819889137888;1:0.14751819889137888;3:0.002655351402609918;3:0.002655351402609918;3:0.002948864087770564;3:0.002948864087770564,0.0052490234375,Yes
3,262.2437720113498,384.81898160883844,0.0054931640625,0.0087890625,0.002197265625,2584.0,0.0002451583700162131,32.0,0.0002451583700162131,0,0.0002451583700162131,0.0002451583700162131,2:0.0019340607072258764;2:0.0019340607072258764;2:0.0020795967975390517;2:0.0020795967975390517;4:0.001645549226299059;4:0.001645549226299059;4:0.009860860899865709;4:0.009860860899865709;16:0.001102982831170024;16:0.001102982831170024;16:0.007359944281663144;16:0.007359944281663144,2:108.0;2:108.0;2:108.0;2:108.0;4:68.0;4:68.0;4:68.0;4:68.0;16:68.0;16:68.0;16:68.0;16:68.0,2:0.002655351402609918;2:0.002655351402609918;2:0.002948864087770564;2:0.002948864087770564;4:0.00470771103649123;4:0.00470771103649123;4:0.0027031178752740803;4:0.0027031178752740803;16:0.0010254734213117067;16:0.0010254734213117067;16:0.0010197301548968418;16:0.0010197301548968418,0.0054931640625,Yes
4,290.45568873277927,448.01670460036553,0.0054931640625,0.006591796875,0.00439453125,2584.0,0.0001470894667547397,32.0,0.0001470894667547397,0,0.0001470894667547397,0.0001470894667547397,3:0.001645549226299059;3:0.001645549226299059;3:0.009860860899865709;3:0.009860860899865709;5:0.03657172934560082;5:0.03657172934560082;5:0.0022872443008895293;5:0.0022872443008895293,3:68.0;3:68.0;3:68.0;3:68.0;5:68.0;5:68.0;5:68.0;5:68.0,3:0.00470771103649123;3:0.00470771103649123;3:0.0027031178752740803;3:0.0027031178752740803;5:0.007395984161039815;5:0.007395984161039815;5:0.004268524769012877;5:0.004268524769012877,0.0054931640625,Yes
5,307.9646161212326,404.1336735681147,0.0040283203125,0.0048828125,0.003173828125,2584.0,0.000276613565679208,32.0,0.000276613565679208,0,0.000276613565679208,0.000276613565679208,4:0.03657172934560082;4:0.03657172934560082;4:0.0022872443008895293;4:0.0022872443008895293;6:0.0007656433021443199;6:0.0007656433021443199;6:0.0007379342333971584;6:0.0007379342333971584,4:68.0;4:68.0;4:68.0;4:68.0;6:68.0;6:68.0;6:68.0;6:68.0,4:0.007395984161039815;4:0.007395984161039815;4:0.004268524769012877;4:0.004268524769012877;6:0.0006649679170554756;6:0.0006649679170554756;6:0.0006547780802736158;6:0.0006547780802736158,0.0040283203125,Yes
6,286.95114400363167,326.7833496757556,0.00390625,0.00634765625,0.00146484375,2584.0,0.00013941097427455578,32.0,0.00013941097427455578,0,0.00013941097427455578,0.00013941097427455578,5:0.0007656433021443199;5:0.0007656433021443199;5:0.0007379342333971584;5:0.0007379342333971584;7:0.0008390248789182098;7:0.0008390248789182098;7:0.0006744490444957063;7:0.0006744490444957063,5:68.0;5:68.0;5:68.0;5:68.0;7:68.0;7:68.0;7:68.0;7:68.0,5:0.0006649679170554756;5:0.0006649679170554756;5:0.0006547780802736158;5:0.0006547780802736158;7:0.0008293445776307307;7:0.0008293445776307307;7:0.0009852957642144111;7:0.0009852957642144111,0.00390625,Yes
7,254.83036106288196,296.77760113327724,0.016357421875,0.025634765625,0.007080078125,2584.0,0.00019622302034593924,32.0,0.00019622302034593924,0,0.00019622302034593924,0.00019622302034593924,6:0.0008390248789182098;6:0.0008390248789182098;6:0.0006744490444957063;6:0.0006744490444957063;8:0.0018249755772762055;8:0.0018249755772762055;8:0.0026627233399721395;8:0.0026627233399721395;17:0.001377024353152373;17:0.001377024353152373;17:0.00304603772006809;17:0.00304603772006809,6:68.0;6:68.0;6:68.0;6:68.0;8:208.0;8:208.0;8:208.0;8:208.0;17:68.0;17:68.0;17:68.0;17:68.0,6:0.0008293445776307307;6:0.0008293445776307307;6:0.0009852957642144111;6:0.0009852957642144111;8:0.010525909742166939;8:0.010525909742166939;8:0.007976521030420985;8:0.007976521030420985;17:0.0010200339528732838;17:0.0010200339528732838;17:0.0014052737088928458;17:0.0014052737088928458,0.016357421875,Yes
8,319.5240745116968,398.9286139773968,0.011474609375,0.004150390625,0.018798828125,2584.0,8.176619501876684e-05,32.0,8.176619501876684e-05,0,8.176619501876684e-05,8.176619501876684e-05,7:0.0018249755772762055;7:0.0018249755772762055;7:0.0026627233399721395;7:0.0026627233399721395;9:0.0033817274574892142;9:0.0033817274574892142;9:0.002070578874501572;9:0.002070578874501572,7:208.0;7:208.0;7:208.0;7:208.0;9:68.0;9:68.0;9:68.0;9:68.0,7:0.010525909742166939;7:0.010525909742166939;7:0.007976521030420985;7:0.007976521030420985;9:0.002143868992121961;9:0.002143868992121961;9:0.0012118434293695024;9:0.0012118434293695024,0.011474609375,Yes
9,270.47633002473816,352.65687408316955,0.0032958984375,0.004638671875,0.001953125,2584.0,0.00017609220576783472,32.0,0.00017609220576783472,0,0.00017609220576783472,0.00017609220576783472,8:0.0033817274574892142;8:0.0033817274574892142;8:0.002070578874501572;8:0.002070578874501572;10:0.001131621052125359;10:0.001131621052125359;10:0.0016314901517047176;10:0.0016314901517047176,8:68.0;8:68.0;8:68.0;8:68.0;10:68.0;10:68.0;10:68.0;10:68.0,8:0.002143868992121961;8:0.002143868992121961;8:0.0012118434293695024;8:0.0012118434293695024;10:0.0029180939110432236;10:0.0029180939110432236;10:0.002681426690709393;10:0.002681426690709393,0.0032958984375,Yes
