instruction,qubits,duration,error
rz,0,0.0,0.0
rz,1,0.0,0.0
rz,2,0.0,0.0
rz,3,0.0,0.0
rz,4,0.0,0.0
rz,5,0.0,0.0
rz,6,0.0,0.0
rz,7,0.0,0.0
rz,8,0.0,0.0
rz,9,0.0,0.0
rz,10,0.0,0.0
rz,11,0.0,0.0
rz,12,0.0,0.0
rz,13,0.0,0.0
rz,14,0.0,0.0
rz,15,0.0,0.0
rz,16,0.0,0.0
rz,17,0.0,0.0
rz,18,0.0,0.0
rz,19,0.0,0.0
rz,20,0.0,0.0
rz,21,0.0,0.0
rz,22,0.0,0.0
rz,23,0.0,0.0
rz,24,0.0,0.0
rz,25,0.0,0.0
rz,26,0.0,0.0
rz,27,0.0,0.0
rz,28,0.0,0.0
rz,29,0.0,0.0
rz,30,0.0,0.0
rz,31,0.0,0.0
rz,32,0.0,0.0
rz,33,0.0,0.0
rz,34,0.0,0.0
rz,35,0.0,0.0
rz,36,0.0,0.0
rz,37,0.0,0.0
rz,38,0.0,0.0
rz,39,0.0,0.0
rz,40,0.0,0.0
rz,41,0.0,0.0
rz,42,0.0,0.0
rz,43,0.0,0.0
rz,44,0.0,0.0
rz,45,0.0,0.0
rz,46,0.0,0.0
rz,47,0.0,0.0
rz,48,0.0,0.0
rz,49,0.0,0.0
rz,50,0.0,0.0
rz,51,0.0,0.0
rz,52,0.0,0.0
rz,53,0.0,0.0
rz,54,0.0,0.0
rz,55,0.0,0.0
rz,56,0.0,0.0
rz,57,0.0,0.0
rz,58,0.0,0.0
rz,59,0.0,0.0
rz,60,0.0,0.0
rz,61,0.0,0.0
rz,62,0.0,0.0
rz,63,0.0,0.0
rz,64,0.0,0.0
rz,65,0.0,0.0
rz,66,0.0,0.0
rz,67,0.0,0.0
rz,68,0.0,0.0
rz,69,0.0,0.0
rz,70,0.0,0.0
rz,71,0.0,0.0
rz,72,0.0,0.0
rz,73,0.0,0.0
rz,74,0.0,0.0
rz,75,0.0,0.0
rz,76,0.0,0.0
rz,77,0.0,0.0
rz,78,0.0,0.0
rz,79,0.0,0.0
rz,80,0.0,0.0
rz,81,0.0,0.0
rz,82,0.0,0.0
