instruction,qubits,duration,error
rzz,0;1,1.32e-07,0.003896715482198332
rzz,1;0,1.32e-07,0.003896715482198332
rzz,1;2,1.72e-07,0.14751819889137888
rzz,2;1,1.72e-07,0.14751819889137888
rzz,2;3,1.72e-07,0.002642318998183124
rzz,3;2,1.72e-07,0.002642318998183124
rzz,3;4,1.32e-07,0.0030153915110433527
rzz,3;16,6.8e-08,0.0011930733348780587
rzz,4;3,1.32e-07,0.0030153915110433527
rzz,4;5,1.32e-07,0.004411705696407364
rzz,5;4,1.32e-07,0.004411705696407364
rzz,5;6,6.8e-08,0.0007657006835596059
rzz,6;5,6.8e-08,0.0007657006835596059
rzz,6;7,6.8e-08,0.0008390044226791737
rzz,7;6,6.8e-08,0.0008390044226791737
rzz,7;8,2.72e-07,0.007327347956162689
rzz,7;17,6.8e-08,0.0010469476428912328
rzz,8;7,2.72e-07,0.007327347956162689
rzz,8;9,6.8e-08,0.0012018332679629706
rzz,9;8,6.8e-08,0.0012018332679629706
rzz,9;10,1.32e-07,0.003570337167096649
rzz,10;9,1.32e-07,0.003570337167096649
rzz,10;11,1.32e-07,0.0018311446590877634
rzz,11;10,1.32e-07,0.0018311446590877634
rzz,11;12,6.8e-08,0.0010712861015704234
rzz,11;18,6.8e-08,0.014202771131228087
rzz,12;11,6.8e-08,0.0010712861015704234
rzz,12;13,6.8e-08,0.0011866567364440528
rzz,13;12,6.8e-08,0.0011866567364440528
rzz,13;14,6.8e-08,0.0010997166778095868
rzz,14;13,6.8e-08,0.0010997166778095868
rzz,14;15,6.8e-08,0.0008296563636543963
rzz,15;14,6.8e-08,0.0008296563636543963
rzz,15;19,6.8e-08,0.0009624363361399602
rzz,16;3,6.8e-08,0.0011930733348780587
rzz,16;23,6.8e-08,0.0023565123598434656
rzz,17;7,6.8e-08,0.0010469476428912328
rzz,17;27,6.8e-08,0.0013230016628439367
rzz,18;11,6.8e-08,0.014202771131228087
rzz,18;31,6.8e-08,0.0027888011182784778
rzz,19;15,6.8e-08,0.0009624363361399602
rzz,19;35,6.8e-08,0.0009527082501879225
rzz,20;21,6.8e-08,0.001545520176674281
rzz,21;20,6.8e-08,0.001545520176674281
rzz,21;22,9.6e-08,0.001313085886851223
rzz,21;36,6.8e-08,0.0007251043250526834
rzz,22;21,9.6e-08,0.001313085886851223
rzz,22;23,6.8e-08,0.004765937910339052
rzz,23;16,6.8e-08,0.0023565123598434656
rzz,23;22,6.8e-08,0.004765937910339052
rzz,23;24,6.8e-08,0.0021113927664828946
rzz,24;23,6.8e-08,0.0021113927664828946
