Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
0,288.07412727104355,451.4293862504539,0.00537109375,0.00927734375,0.00146484375,2180.0,0.0001654943325514319,32.0,0.0001654943325514319,0,0.0001654943325514319,0.0001654943325514319,1:0.0011255888854611873;1:0.0011255888854611873;1:0.0011255888854611873;1:0.0011255888854611873,1:68.0;1:68.0;1:68.0;1:68.0,1:0.003896715482198332;1:0.003896715482198332;1:0.003896715482198332;1:0.003896715482198332,0.00537109375,Yes
1,209.9062720976646,322.67382279923794,0.008056640625,0.0126953125,0.00341796875,2180.0,0.0001313048506038872,32.0,0.0001313048506038872,0,0.0001313048506038872,0.0001313048506038872,0:0.0011255888854611873;0:0.0011255888854611873;0:0.0011255888854611873;0:0.0011255888854611873;2:0.0021687882508052425;2:0.0021687882508052425;2:0.0021687882508052425;2:0.0021687882508052425,0:68.0;0:68.0;0:68.0;0:68.0;2:108.0;2:108.0;2:108.0;2:108.0,0:0.003896715482198332;0:0.003896715482198332;0:0.003896715482198332;0:0.003896715482198332;2:0.14751819889137888;2:0.14751819889137888;2:0.14751819889137888;2:0.14751819889137888,0.008056640625,Yes
2,205.34261819211994,279.7835375802397,0.012451171875,0.015625,0.00927734375,2180.0,0.00014168160537988433,32.0,0.00014168160537988433,0,0.00014168160537988433,0.00014168160537988433,1:0.0021687882508052425;1:0.0021687882508052425;1:0.0021687882508052425;1:0.0021687882508052425;3:0.002344280857603742;3:0.002344280857603742;3:0.002344280857603742;3:0.002344280857603742,1:108.0;1:108.0;1:108.0;1:108.0;3:108.0;3:108.0;3:108.0;3:108.0,1:0.14751819889137888;1:0.14751819889137888;1:0.14751819889137888;1:0.14751819889137888;3:0.002642318998183124;3:0.002642318998183124;3:0.002642318998183124;3:0.002642318998183124,0.012451171875,Yes
3,287.43705912902504,401.7466254394205,0.003662109375,0.005859375,0.00146484375,2180.0,0.0003098312296847854,32.0,0.0003098312296847854,0,0.0003098312296847854,0.0003098312296847854,2:0.002344280857603742;2:0.002344280857603742;2:0.002344280857603742;2:0.002344280857603742;4:0.008876215034204105;4:0.008876215034204105;4:0.008876215034204105;4:0.008876215034204105;16:0.006412650742087855;16:0.006412650742087855;16:0.006412650742087855;16:0.006412650742087855,2:108.0;2:108.0;2:108.0;2:108.0;4:68.0;4:68.0;4:68.0;4:68.0;16:68.0;16:68.0;16:68.0;16:68.0,2:0.002642318998183124;2:0.002642318998183124;2:0.002642318998183124;2:0.002642318998183124;4:0.0030153915110433527;4:0.0030153915110433527;4:0.0030153915110433527;4:0.0030153915110433527;16:0.0011930733348780587;16:0.0011930733348780587;16:0.0011930733348780587;16:0.0011930733348780587,0.003662109375,Yes
4,269.0312949938833,519.4653255069827,0.003662109375,0.0048828125,0.00244140625,2180.0,0.0001137774674650683,32.0,0.0001137774674650683,0,0.0001137774674650683,0.0001137774674650683,3:0.008876215034204105;3:0.008876215034204105;3:0.008876215034204105;3:0.008876215034204105;5:0.002206782157391951;5:0.002206782157391951;5:0.002206782157391951;5:0.002206782157391951,3:68.0;3:68.0;3:68.0;3:68.0;5:68.0;5:68.0;5:68.0;5:68.0,3:0.0030153915110433527;3:0.0030153915110433527;3:0.0030153915110433527;3:0.0030153915110433527;5:0.004411705696407364;5:0.004411705696407364;5:0.004411705696407364;5:0.004411705696407364,0.003662109375,Yes
5,163.76147242979116,222.6271337814726,0.003173828125,0.005859375,0.00048828125,2180.0,0.00012812257009460997,32.0,0.00012812257009460997,0,0.00012812257009460997,0.00012812257009460997,4:0.002206782157391951;4:0.002206782157391951;4:0.002206782157391951;4:0.002206782157391951;6:0.0007854120185106228;6:0.0007854120185106228;6:0.0007854120185106228;6:0.0007854120185106228,4:68.0;4:68.0;4:68.0;4:68.0;6:68.0;6:68.0;6:68.0;6:68.0,4:0.004411705696407364;4:0.004411705696407364;4:0.004411705696407364;4:0.004411705696407364;6:0.0007657006835596059;6:0.0007657006835596059;6:0.0007657006835596059;6:0.0007657006835596059,0.003173828125,Yes
6,273.31926283632174,351.21754008223627,0.010009765625,0.01416015625,0.005859375,2180.0,0.00014517677661665302,32.0,0.00014517677661665302,0,0.00014517677661665302,0.00014517677661665302,5:0.0007854120185106228;5:0.0007854120185106228;5:0.0007854120185106228;5:0.0007854120185106228;7:0.0008186684127160226;7:0.0008186684127160226;7:0.0008186684127160226;7:0.0008186684127160226,5:68.0;5:68.0;5:68.0;5:68.0;7:68.0;7:68.0;7:68.0;7:68.0,5:0.0007657006835596059;5:0.0007657006835596059;5:0.0007657006835596059;5:0.0007657006835596059;7:0.0008390044226791737;7:0.0008390044226791737;7:0.0008390044226791737;7:0.0008390044226791737,0.010009765625,Yes
7,322.43905992687354,383.34557643789935,0.01416015625,0.025390625,0.0029296875,2180.0,0.0002003554020170063,32.0,0.0002003554020170063,0,0.0002003554020170063,0.0002003554020170063,6:0.0008186684127160226;6:0.0008186684127160226;6:0.0008186684127160226;6:0.0008186684127160226;8:0.0017749408886218454;8:0.0017749408886218454;8:0.0017749408886218454;8:0.0017749408886218454;17:0.002434287199920837;17:0.002434287199920837;17:0.002434287199920837;17:0.002434287199920837,6:68.0;6:68.0;6:68.0;6:68.0;8:208.0;8:208.0;8:208.0;8:208.0;17:68.0;17:68.0;17:68.0;17:68.0,6:0.0008390044226791737;6:0.0008390044226791737;6:0.0008390044226791737;6:0.0008390044226791737;8:0.007327347956162689;8:0.007327347956162689;8:0.007327347956162689;8:0.007327347956162689;17:0.0010469476428912328;17:0.0010469476428912328;17:0.0010469476428912328;17:0.0010469476428912328,0.01416015625,Yes
8,303.06143030375387,333.66478898220765,0.005859375,0.00830078125,0.00341796875,2180.0,0.00010220266456553789,32.0,0.00010220266456553789,0,0.00010220266456553789,0.00010220266456553789,7:0.0017749408886218454;7:0.0017749408886218454;7:0.0017749408886218454;7:0.0017749408886218454;9:0.0010570808591583158;9:0.0010570808591583158;9:0.0010570808591583158;9:0.0010570808591583158,7:208.0;7:208.0;7:208.0;7:208.0;9:68.0;9:68.0;9:68.0;9:68.0,7:0.007327347956162689;7:0.007327347956162689;7:0.007327347956162689;7:0.007327347956162689;9:0.0012018332679629706;9:0.0012018332679629706;9:0.0012018332679629706;9:0.0012018332679629706,0.005859375,Yes
9,274.8852139419428,370.73945678727154,0.00341796875,0.0048828125,0.001953125,2180.0,0.00010426958053632611,32.0,0.00010426958053632611,0,0.00010426958053632611,0.00010426958053632611,8:0.0010570808591583158;8:0.0010570808591583158;8:0.0010570808591583158;8:0.0010570808591583158;10:0.0012166599251781096;10:0.0012166599251781096;10:0.0012166599251781096;10:0.0012166599251781096,8:68.0;8:68.0;8:68.0;8:68.0;10:68.0;10:68.0;10:68.0;10:68.0,8:0.0012018332679629706;8:0.0012018332679629706;8:0.0012018332679629706;8:0.0012018332679629706;10:0.003570337167096649;10:0.003570337167096649;10:0.003570337167096649;10:0.003570337167096649,0.00341796875,Yes
